,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
600,66,71,76,81,87,92,97,102,107,113,118,123,137,142,148,177,184
800,68,74,80,86,91,97,103,109,114,120,126,132,146,152,158,188,195
1000,71,77,84,90,96,103,109,115,121,128,134,140,155,162,168,199,207
1200,74,80,87,94,101,108,115,122,128,135,142,149,165,172,179,210,218
1400,76,84,91,98,106,113,121,128,135,143,150,158,174,181,189,221,230
1600,79,87,95,103,111,119,126,134,142,150,158,166,183,191,199,232,241
1800,81,90,98,107,115,124,132,141,149,158,166,175,192,201,210,242,252
2000,84,93,102,111,120,129,138,147,156,165,175,184,202,211,220,253,264
2200,86,96,106,115,125,135,144,154,163,173,183,192,211,221,230,264,275
2400,89,99,109,120,130,140,150,160,170,181,191,201,220,230,241,275,287
2600,99,110,121,132,139,153,164,175,186,197,208,218,229,240,251,286,298
2800,102,113,124,136,147,159,170,181,193,204,216,227,238,250,261,297,310
3000,109,123,136,149,162,176,189,202,215,228,242,255,268,281,295,308,321
